,Comment,URL
0,"""Prepared to work"" is a different question depending on who is asked. Prepared to think critically is an art that grows from early youth but is augmented by the college experience. Recent college graduates are prepared to learn particular jobs. They are not prepared to do the jobs. The latter is ""OJT."" The provosts perhaps consider the growth in analytic skills but those skills are only a bit beyond apprentice level at the end of college. The employer would love to see engineers mature in the necessary mathematical skills but the recent college graduate is familiar with, not expert with those skills. The graduate is eager to work but often woefully aware of lack of specific skill maturity. Even for PhDs and MDs and JDs, skills grow rapidly in the first few years but continue to grow until cognitive decline interferes.<br/>Mentors so often shape how skills mature, on which skills to employ when, and how to interface with others. The mentors rightfully get credit for teaching which applications of skills to apply to specific problems and it is the success of those interactions that morph an early graduate into an effective worker/practitioner of an art.",http://www.nytimes.com/2014/09/10/opinion/thomas-friedman-it-takes-a-mentor.html
1,"The times they are a changin'.....fast.  The mentors of yesteryear in our small town of less than 35,000 were the teachers in elementary, junior high and high school, our shop instructors, our coaches, our priest, our parents and our extended family of aunts and uncles. And, the best mentors of all were the folks who worked at the Coca-Cola distribution plant (as fork lift operators and delivery truck drivers), and the textile mills (as steam press operators and speckers) all their lives and served as models of why we might want to stay and finish college.",http://www.nytimes.com/2014/09/10/opinion/thomas-friedman-it-takes-a-mentor.html
2,"Hmmm. Well, maybe money for class-size reduction is money well spent. Also, if teachers all have 30+ kids in their classes, and counselors, librarians, art teachers, etc. have all been cut from the budget (like has happened in CA), then there really are not enough grown-ups available for mentoring. ",http://www.nytimes.com/2014/09/10/opinion/thomas-friedman-it-takes-a-mentor.html
3,"Businesses used to train their workers. Now, of course, this has become a government responsibility to be paid for by the state and the students.  Education in many cases used to be more general, seeking to provided students with some level of cultivation and sophistication.  Now education means job training. I am not arguing against job training but job training is not exactly education in the larger sense. It seems to me that if businesses want pre- trained employees, trained to meet their needs  (what else is employer validated training programs) perhaps we should consider how such businesses might contribute. I am talking funding here.  After all the student benefits with a job, the community benefits by having employed citizens and the business benefits by having a trained employee. Since all beneift, it is only proper that all should contribute.",http://www.nytimes.com/2014/09/10/opinion/thomas-friedman-it-takes-a-mentor.html
4,"Mr. Freidman has passed along conclusions of the Gallup interviews.  He, however, has failed to assess those conclusions within the broader discussion of the goals of our education system.  The opinions of the various groups interviewed reveal no surprises. If ours schools exist to move students into jobs, let industry set the curricula.  Administrators, employers, and for a brief interval, many students will report  high satisfaction.  But the average graduate may make 6 to 10 major career changes, and many of the new jobs will not have been invented at the time of graduation.  Such an educational system would produce a large poorly employable, frustrated population of workers and employers.<br/>I believe our schools need to teach students to think, to problem solve, and to be flexible.  A liberal arts exposure offers a bigger world view that better prepares students for a changing work place.  It also prepares graduates for responsible citizenship and, in my opinion, more fulfilling lives. Liberal arts teaching, however, is not the whole answer.  Schools must not loose sight of the goal of instilling in students a capacity for critical thinking.  The group of governors and educators that developed the concept of the Common Core curriculum understood this deficiency in our current education system.  My hope is that Mr Friedman and other respected writers will do more to focus on finding solutions to the problems of our schools.",http://www.nytimes.com/2014/09/10/opinion/thomas-friedman-it-takes-a-mentor.html
5,"Sorry but this column misses the mark on almost every point. Many have been addressed by prior comments. Cybersecurity coders coming from community colleges? This is an issue requiring the cream of the crop for those talented in computer sciences. the math whizzes who win prizes, figuring out stuff vastly more complicated than any question on the SAT. they were dismissed as nerds decades ago, before many of them went on to become billionaires. as more websites get hacked, both government and private, the free market will ensure that those with the skills to counter the eternal 'build a better mousetrap' computer vermin will be rewarded for their skills. the types that go to places like MIT or Caltech, and even there stand out noticeably from their peers. or drop out altogether, like Bill Gates. the solution to 'cybersecurity' certainly aren't going to be found in community colleges. those are the peons that get hired to do the drudge work.<br/>in the old days, which actually weren't that long ago, companies hired a promising youngster, and you learned on the job. loyalty went both ways, and 'company men' retired with a party, box of cigars, and a watch after a few decades. now, the companies can fire at will for any number of reasons. and they want their new hires to be prepackaged and immediately ready to contribute like a veteran from day one? don't even get me started on those natural gas field workers.",http://www.nytimes.com/2014/09/10/opinion/thomas-friedman-it-takes-a-mentor.html
6,"It's hard to disagree with any of this--except I'd add that K-12 teachers saddled with more and more paperwork, more and more grading, more and more extra duty, more and more ""trainings,"" aren't going to have a lot left over for all this estimable stuff.<br/><br/>Similarly, at least 70% of college and university classes are taught by people who aren't tenured, aren't on a tenure track, and aren't going to be on a tenure track. They're grad students (mentors? Let's hope not), adjuncts, PT-ers teaching six different places. <br/><br/>When we see a scrap of political will, let alone willingness to pony up what this nice stuff costs...",http://www.nytimes.com/2014/09/10/opinion/thomas-friedman-it-takes-a-mentor.html
7,Weird !! Why bother teaching kids at school ? just get companies to train children directly for employment. ... As if  a company job is the only reason to educate people!!!!,http://www.nytimes.com/2014/09/10/opinion/thomas-friedman-it-takes-a-mentor.html
8,"Thank you, Mr. Friedman, for raising awareness of the role of mentoring in educating teens and young adults. Adults forget how much guidance they need, and no amount of lectures or required reading is going to provide that. Successful mentoring can range from simple, daily heart to heart connections with students to modern day guild type of apprenticeships. It's the connectivity that matters. ",http://www.nytimes.com/2014/09/10/opinion/thomas-friedman-it-takes-a-mentor.html
9,"Mr. Friedman has hit the nail on the head with this article unlike the Sunday column of killing two birds with one stone. We need mentors now! Most of problems will be solved- this column is- killing many, many birds with one. My apologies to the birds. It's just a metaphor.",http://www.nytimes.com/2014/09/10/opinion/thomas-friedman-it-takes-a-mentor.html
